Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
41484, 41447, 84536, 120522, 131025, 46314, 36238, 26116, 23873
38228, 43008, 86439, 96875, 100070, 35433, 33599, 24586, 25920
33311, 31987, 88840, 92833, 104144, 46002, 42104, 35349, 28086
39033, 40331, 77462, 92329, 102959, 34042, 26514, 23951, 27100
40918, 33226, 95155, 99439, 102675, 38396, 33129, 29596, 27156
34996, 34294, 77505, 103720, 111479, 38886, 28965, 24867, 27337
34307, 29601, 68770, 90433, 100114, 34884, 33966, 25850, 26751
32394, 33813, 103513, 117510, 119198, 39698, 33542, 31921, 30014
37926, 39346, 92061, 103506, 98969, 36888, 28956, 27248, 27685
35163, 30009, 79571, 92779, 103518, 38064, 30838, 23023, 26439
37286, 35128, 106032, 119174, 91689, 40783, 36649, 31077, 32341
35509, 53902, 85857, 89315, 95506, 34277, 36494, 28045, 25853
30952, 30860, 106858, 113868, 100266, 40346, 28980, 23038, 28967
31307, 38186, 92639, 99572, 106018, 39110, 44730, 34054, 30459
34827, 32445, 85528, 92104, 97338, 34876, 28954, 28023, 25822
35580, 31142, 96094, 111447, 101708, 37704, 32364, 29624, 29904
33239, 30183, 91722, 104553, 104187, 36191, 33538, 29987, 30043
36235, 35085, 86036, 100856, 124343, 42537, 30492, 27703, 24954
35793, 52958, 105739, 93617, 103859, 35840, 70803, 63287, 43407
59926, 54899, 107072, 136811, 120213, 37999, 32848, 29953, 35339
41615, 43292, 97987, 104481, 114558, 37285, 31471, 27334, 27216
39462, 32414, 82762, 102996, 124218, 39254, 30845, 25046, 29755
41629, 39560, 88862, 92636, 107009, 34190, 40798, 27089, 24641
31243, 26683, 91235, 96519, 106045, 38951, 33587, 27905, 27469
41271, 41642, 93771, 103289, 90157, 41336, 44250, 23783, 23034
34185, 33614, 81057, 97288, 104961, 37861, 32153, 22399, 27107
34839, 32923, 86893, 97612, 109520, 38991, 34165, 33946, 35681
44294, 43811, 85672, 92426, 102067, 47439, 45403, 32805, 26665
38624, 43003, 81359, 97237, 109400, 34386, 38097, 27522, 28329
41574, 40362, 97404, 91727, 112760, 44124, 37811, 28207, 29805
36646, 32803, 76759, 97814, 107266, 37584, 30398, 26505, 27217
34433, 30516, 73697, 102414, 129916, 57091, 36255, 31413, 30472
36882, 31200, 94099, 97889, 104892, 33042, 29501, 25887, 25778
35559, 32682, 79657, 90267, 99654, 32667, 41441, 36915, 33189
36062, 39119, 88843, 97056, 104163, 35074, 44644, 30750, 28741
34069, 31050, 79868, 92774, 101732, 35822, 35261, 28629, 28929
32834, 30169, 88941, 108400, 124937, 36245, 33664, 29072, 29063
39356, 31112, 76543, 87828, 95060, 36182, 29208, 24249, 29579
34375, 30009, 76169, 93866, 100816, 35250, 41558, 29840, 31158
45542, 45134, 82821, 93023, 102763, 34860, 31830, 26891, 26398
33674, 29612, 87003, 100152, 101922, 34971, 30340, 27196, 29357
32797, 29524, 93900, 107517, 114139, 41305, 30382, 28026, 29228
36960, 28702, 82875, 93707, 98081, 34870, 29416, 26602, 29213
32779, 29944, 90379, 92068, 103653, 38825, 40000, 28868, 26453
37395, 35936, 78657, 109847, 106883, 37172, 28800, 26572, 30507
35234, 30025, 81163, 92607, 99903, 33878, 33701, 26468, 29545
34165, 33560, 112083, 98423, 112999, 37808, 39035, 27449, 25844
30577, 27916, 81191, 92247, 97019, 32361, 33057, 26547, 26174
32686, 31237, 91353, 89623, 118569, 39637, 34702, 31082, 27694
38972, 34361, 88501, 91875, 99773, 35304, 33311, 23938, 24695
32498, 30734, 76666, 97262, 100850, 33852, 34398, 28078, 27378
32548, 30143, 81757, 110494, 97194, 35469, 31697, 23940, 30479
47915, 41804, 78564, 92676, 98615, 38583, 32699, 29017, 25398
31771, 31064, 78602, 88473, 97766, 43905, 42971, 34528, 33219
43423, 31010, 85852, 92120, 98413, 35817, 37719, 31230, 24992
31543, 28284, 78202, 90642, 94470, 34242, 31604, 26584, 26944
33445, 29368, 91621, 104935, 111855, 39875, 28636, 25262, 32013
33401, 30001, 74201, 87894, 95648, 33273, 29891, 27503, 36445
33622, 31364, 94353, 87944, 97793, 39964, 41330, 24906, 30816
35779, 55552, 85543, 95424, 98519, 33136, 37272, 26531, 26978
34017, 38798, 79395, 90850, 97847, 35554, 48163, 24457, 24798
34213, 38453, 80205, 111329, 94031, 46709, 40173, 27919, 29353
37951, 40530, 81760, 99735, 106514, 40762, 38859, 31081, 31193
38530, 45672, 102287, 109178, 130644, 46648, 45980, 30168, 31992
42506, 42025, 102633, 109792, 114145, 44090, 50145, 32741, 36749
42321, 39865, 95498, 105024, 125262, 44391, 45681, 36295, 32010
43179, 40896, 101842, 106127, 112004, 42633, 43426, 32943, 34273
40825, 41006, 99836, 105537, 120005, 46179, 45137, 35226, 30844
42091, 40532, 93544, 104561, 121410, 43159, 38905, 31548, 32284
43751, 40367, 92937, 105492, 113863, 43020, 42693, 35820, 34095
41459, 51960, 106902, 100121, 104167, 41971, 41398, 34236, 31897
41452, 41710, 92461, 104802, 112648, 42114, 42931, 33298, 31726
40561, 44536, 108256, 114899, 103960, 44073, 39775, 33320, 33794
42538, 41306, 98085, 111159, 113484, 42010, 44321, 35059, 30304
39314, 40697, 98607, 109242, 116649, 40537, 43067, 30533, 30292
39695, 39903, 97661, 104386, 125320, 43217, 41116, 35306, 27485
41666, 45716, 100572, 125599, 125480, 43885, 41411, 31174, 30152
41376, 48726, 97860, 109339, 108691, 44326, 42436, 32538, 32382
43272, 45944, 98713, 113776, 130559, 44651, 39353, 30115, 30478
41964, 45836, 95451, 121084, 113873, 42614, 37476, 29925, 30119
41906, 40405, 94582, 103989, 126436, 41456, 41085, 34697, 34446
41623, 40997, 109429, 103506, 110280, 40906, 39880, 34074, 32848
39991, 38847, 92020, 98900, 107045, 40552, 37461, 31402, 28128
39539, 42278, 93372, 101845, 109503, 43116, 36424, 31773, 31297
40264, 42907, 95861, 105383, 110669, 41572, 41311, 32976, 32207
39905, 43338, 92946, 112332, 99456, 45318, 45548, 33814, 29740
40221, 41368, 101833, 104607, 107524, 42082, 38503, 35957, 30261
41634, 43396, 102513, 113787, 125463, 41121, 40312, 28757, 28800
41368, 40049, 90670, 101886, 109969, 42008, 37608, 32131, 28200
39132, 40640, 93307, 99904, 118193, 48418, 44059, 35039, 26565
38243, 38272, 102724, 99717, 122668, 42863, 45354, 33575, 31584
38846, 38989, 93766, 97241, 107004, 41810, 45761, 30210, 27853
40066, 44341, 106294, 104549, 108474, 40893, 40003, 31009, 28667
38254, 37750, 94486, 102108, 105709, 40204, 39029, 28103, 29159
37763, 44474, 91747, 112509, 107063, 41551, 38918, 31185, 31386
40401, 38526, 88819, 90218, 120866, 41923, 37702, 32596, 34852
39784, 38487, 99460, 111530, 123779, 39308, 39107, 28168, 27547
40652, 39091, 89437, 97094, 104220, 40974, 42295, 29248, 28787
38367, 37652, 96673, 102706, 117711, 40715, 40104, 32355, 26063
37125, 38424, 83712, 92570, 103604, 39744, 36256, 30548, 28794
36330, 36834, 81106, 94651, 100697, 38428, 36518, 29551, 27653
35738, 35197, 91868, 100080, 102865, 36700, 34532, 27330, 29634
35792, 36668, 93793, 107411, 98885, 37839, 33997, 26667, 30648
36331, 36737, 88673, 103089, 114387, 41308, 39068, 29218, 29570
36550, 40394, 92055, 114700, 110136, 37112, 33624, 28111, 30240
36521, 36781, 91346, 94443, 100704, 42904, 35970, 30367, 30078
39752, 49028, 110764, 93352, 102165, 37473, 44122, 30121, 28087
34789, 34949, 87527, 91253, 99506, 36226, 35298, 28573, 28831
34485, 34892, 85677, 102806, 89759, 44938, 39654, 31499, 29153
37249, 37721, 93332, 99138, 102907, 38370, 43465, 30760, 31363
36860, 37129, 90696, 100640, 122371, 39765, 39944, 31814, 28084
